escena,entrada,gt_People,gt_Lamp,tp_People,tp_Lamp,recupera_People,recupera_Lamp,recupera_ambas
00199,Propuesta_Novedosa,7,2,6,1,1,1,1
00204,VIS,8,3,7,3,1,1,1
00204,IR,8,3,8,1,1,1,1
00204,PiramideLaplace,8,3,8,3,1,1,1
00204,RatioPiramide,8,3,8,3,1,1,1
00204,DWT,8,3,8,2,1,1,1
00204,DTCWT,8,3,8,3,1,1,1
00204,Curvelet,8,3,8,3,1,1,1
00204,TopHat_Clasico,8,3,8,2,1,1,1
00204,Propuesta_Novedosa,8,3,8,2,1,1,1
00205,VIS,9,3,4,2,1,1,1
00205,IR,9,3,6,2,1,1,1
00205,PiramideLaplace,9,3,7,2,1,1,1
00205,RatioPiramide,9,3,7,2,1,1,1
00205,DWT,9,3,7,2,1,1,1
00205,DTCWT,9,3,7,2,1,1,1
00205,Curvelet,9,3,6,2,1,1,1
00205,TopHat_Clasico,9,3,7,2,1,1,1
00205,Propuesta_Novedosa,9,3,7,2,1,1,1
00206,VIS,8,1,4,1,1,1,1
00206,IR,8,1,5,1,1,1,1
00206,PiramideLaplace,8,1,5,1,1,1,1
00206,RatioPiramide,8,1,5,1,1,1,1
00206,DWT,8,1,5,1,1,1,1
00206,DTCWT,8,1,4,1,1,1,1
00206,Curvelet,8,1,5,1,1,1,1
00206,TopHat_Clasico,8,1,4,1,1,1,1
00206,Propuesta_Novedosa,8,1,4,1,1,1,1
00209,VIS,1,1,0,1,0,1,0
00209,IR,1,1,1,1,1,1,1
00209,PiramideLaplace,1,1,1,1,1,1,1
00209,RatioPiramide,1,1,1,1,1,1,1
00209,DWT,1,1,1,1,1,1,1
00209,DTCWT,1,1,1,1,1,1,1
00209,Curvelet,1,1,1,1,1,1,1
00209,TopHat_Clasico,1,1,1,1,1,1,1
00209,Propuesta_Novedosa,1,1,1,1,1,1,1
00210,VIS,3,1,2,1,1,1,1
00210,IR,3,1,2,1,1,1,1
00210,PiramideLaplace,3,1,2,1,1,1,1
00210,RatioPiramide,3,1,2,1,1,1,1
