r,m,clave,detectado
5,0.1,1204|People|2,0
5,0.1,1204|People|3,0
5,0.1,1204|Lamp|0,0
5,0.1,1206|People|0,1
5,0.1,1206|People|1,1
5,0.1,1206|People|2,0
5,0.1,1206|Lamp|0,0
5,0.1,1207|People|0,1
5,0.1,1207|People|1,1
5,0.1,1207|People|2,0
5,0.1,1207|Lamp|0,0
5,0.1,1211|People|0,1
5,0.1,1211|People|1,1
5,0.1,1211|People|2,0
5,0.1,1211|People|3,0
5,0.1,1211|Lamp|0,0
5,0.1,1213|People|0,1
5,0.1,1213|People|1,1
5,0.1,1213|Lamp|0,0
5,0.1,1216|People|0,1
5,0.1,1216|People|1,1
5,0.1,1216|Lamp|0,0
5,0.1,1218|People|0,1
5,0.1,1218|People|1,1
5,0.1,1218|Lamp|0,0
5,0.1,1219|People|0,0
5,0.1,1219|People|1,0
5,0.1,1219|People|2,0
5,0.1,1219|People|3,0
5,0.1,1219|Lamp|0,1
5,0.1,1219|Lamp|1,1
5,0.1,1221|People|0,1
5,0.1,1221|People|1,1
5,0.1,1221|People|2,0
5,0.1,1221|Lamp|0,0
5,0.1,1222|People|0,1
5,0.1,1222|People|1,1
5,0.1,1222|People|2,0
5,0.1,1222|Lamp|0,0
5,0.1,1225|People|0,0
5,0.1,1225|People|1,0
5,0.1,1225|People|2,0
5,0.1,1225|People|3,0
5,0.1,1225|People|4,0
5,0.1,1225|People|5,0
5,0.1,1225|People|6,0
5,0.1,1225|Lamp|0,1
5,0.1,1225|Lamp|1,1
5,0.1,1226|People|0,0
5,0.1,1226|People|1,0
5,0.1,1226|People|2,0
5,0.1,1226|People|3,0
5,0.1,1226|People|4,0
5,0.1,1226|Lamp|0,0
5,0.1,1226|Lamp|1,1
5,0.1,1226|Lamp|2,0
5,0.1,1228|People|0,0
5,0.1,1228|Lamp|0,1
5,0.1,1266|People|0,0
5,0.1,1266|People|1,0
5,0.1,1266|Lamp|0,1
5,0.1,1266|Lamp|1,0
5,0.1,1268|People|0,1
5,0.1,1268|Lamp|0,1
5,0.1,1268|Lamp|1,0
5,0.1,1268|Lamp|2,0
5,0.1,1268|Lamp|3,0
5,0.1,1273|People|0,0
5,0.1,1273|Lamp|0,1
5,0.1,1273|Lamp|1,0
5,0.1,1274|People|0,0
5,0.1,1274|Lamp|0,0
5,0.1,1274|Lamp|1,1
5,0.1,1274|Lamp|2,0
5,0.1,1285|People|0,1
5,0.1,1285|Lamp|0,1
5,0.1,1285|Lamp|1,1
5,0.1,1285|Lamp|2,1
5,0.1,1291|People|0,0
5,0.1,1291|Lamp|0,0
5,0.1,1291|Lamp|1,1
5,0.1,1295|People|0,0
5,0.1,1295|People|1,0
5,0.1,1295|People|2,0
5,0.1,1295|Lamp|0,1
5,0.1,1299|People|0,1
5,0.1,1299|People|1,0
5,0.1,1299|People|2,0
5,0.1,1299|Lamp|0,0
5,0.1,2046|People|0,1
5,0.1,2046|People|1,1
5,0.1,2046|Lamp|0,1
5,0.1,2046|Lamp|1,1
5,0.1,2046|Lamp|2,1
5,0.1,2046|Lamp|3,0
5,0.1,2050|People|0,1
5,0.1,2050|People|1,0
5,0.1,2050|Lamp|0,1
5,0.1,2050|Lamp|1,0
5,0.1,2050|Lamp|2,1
5,0.1,2050|Lamp|3,0
5,0.1,2051|People|0,1
5,0.1,2051|People|1,0
5,0.1,2051|Lamp|0,0
5,0.1,2051|Lamp|1,0
5,0.1,2051|Lamp|2,1
5,0.1,2051|Lamp|3,0
5,0.1,2052|People|0,1
5,0.1,2052|People|1,0
5,0.1,2052|Lamp|0,1
5,0.1,2052|Lamp|1,1
5,0.1,2052|Lamp|2,0
5,0.1,2052|Lamp|3,0
5,0.1,2056|People|0,1
5,0.1,2056|People|1,1
5,0.1,2056|Lamp|0,1
5,0.1,2056|Lamp|1,0
5,0.1,2056|Lamp|2,1
5,0.1,2056|Lamp|3,0
5,0.1,2057|People|0,1
5,0.1,2057|People|1,0
5,0.1,2057|Lamp|0,1
5,0.1,2057|Lamp|1,0
5,0.1,2057|Lamp|2,0
5,0.1,2057|Lamp|3,1
5,0.1,2058|People|0,1
