r,m,Fo
3,1.91,1.3507241066911175
3,1.92,1.3496877018787277
3,1.93,1.3486531170168954
3,1.94,1.3476360187050773
3,1.95,1.3465972302087952
3,1.96,1.345593043701079
3,1.97,1.3445636312236084
3,1.98,1.3435132519028568
3,1.99,1.342626188018481
3,2.0,1.3415519254427641
4,0.01,1.7599498991759488
4,0.02,1.7612327238264338
4,0.03,1.7622030741111072
4,0.04,1.7628324356694414
4,0.05,1.763129076182871
4,0.06,1.763101346686782
4,0.07,1.7627341104949281
4,0.08,1.7620578608660613
4,0.09,1.7611418394898495
4,0.1,1.7599450413836877
4,0.11,1.7585271719080822
4,0.12,1.7568849769186166
4,0.13,1.7550317020395287
4,0.14,1.7529797947949801
4,0.15,1.750726498099611
4,0.16,1.7482667493788646
4,0.17,1.7455816952968053
4,0.18,1.7427373117656166
4,0.19,1.7397508470542735
4,0.2,1.7366747585681475
4,0.21,1.73356301660783
4,0.22,1.7303161552873174
4,0.23,1.7269789116986918
4,0.24,1.723552722508165
4,0.25,1.7200574639797106
4,0.26,1.7165152125253123
4,0.27,1.7129133784407473
4,0.28,1.7092976141120662
4,0.29,1.7056533764346096
4,0.3,1.7019660123506475
4,0.31,1.6982672132764633
4,0.32,1.6945083236382539
4,0.33,1.69075915900119
4,0.34,1.6869552093802698
4,0.35,1.6831569149200873
4,0.36,1.6793271633167732
4,0.37,1.6754886479709867
4,0.38,1.671662046415099
4,0.39,1.66782242017965
4,0.4,1.6639669364935845
4,0.41,1.660152300136563
4,0.42,1.6563454840240144
4,0.43,1.6525315254921082
4,0.44,1.6487419925525575
4,0.45,1.6449562542960443
4,0.46,1.6412008876765583
4,0.47,1.6374471638792027
4,0.48,1.6337117695547976
4,0.49,1.6300069106330015
4,0.5,1.6262698542075036
4,0.51,1.6226348108771598
4,0.52,1.6189947528561452
4,0.53,1.6153632785668954
4,0.54,1.6117573042025823
4,0.55,1.6081583913372919
4,0.56,1.6045936878224936
4,0.57,1.6010780593851421
4,0.58,1.597573287368002
4,0.59,1.5940976119684696
4,0.6,1.5906201478749147
4,0.61,1.5872150692755043
4,0.62,1.58381919294318
4,0.63,1.5804531275853932
4,0.64,1.5770998742329938
4,0.65,1.5737977396502814
4,0.66,1.5705084860271457
4,0.67,1.567258897780091
4,0.68,1.5640391826881872
4,0.69,1.560854017870776
4,0.7,1.5576854028983667
4,0.71,1.5545658057060097
4,0.72,1.5514644287974744
4,0.73,1.548416017025214
4,0.74,1.5453848677338886
4,0.75,1.542376469311736
4,0.76,1.5394164506803465
4,0.77,1.5364810867065712
4,0.78,1.5335603490652083
4,0.79,1.5306756754190431
4,0.8,1.5278047872611327
4,0.81,1.5250195265873678
4,0.82,1.5222321597303639
4,0.83,1.5194784338186917
4,0.84,1.5167489902576667
4,0.85,1.514047172398789
4,0.86,1.5113801664490782
4,0.87,1.5087378037324326
4,0.88,1.5061152348463367
4,0.89,1.5035393648145456
4,0.9,1.5009711644749384
4,0.91,1.4984587609549542
4,0.92,1.4959620417041508
4,0.93,1.4934995331051073
4,0.94,1.491055821378711
4,0.95,1.4886356516760995
4,0.96,1.4862450843371133
4,0.97,1.4838874228681798
4,0.98,1.4815507500686254
4,0.99,1.4792487474701612
4,1.0,1.476847407421416
4,1.01,1.4746704192542357
4,1.02,1.4724308232899423
4,1.03,1.4702185513564212
4,1.04,1.4680406637741195
4,1.05,1.4658882460719973
4,1.06,1.4637490019019115
4,1.07,1.4616242278691314
4,1.08,1.4595312702332375
4,1.09,1.4574555356103411
4,1.1,1.4553985344638036
4,1.11,1.453360418153287
4,1.12,1.451353023902544
4,1.13,1.4493614868948814
4,1.14,1.4473945710076805
4,1.15,1.44545699973191
4,1.16,1.443526918294961
4,1.17,1.441610847393181
4,1.18,1.4397323161861337
4,1.19,1.4378722531670396
4,1.2,1.435996370743794
4,1.21,1.434186488337364
4,1.22,1.4323744439692023
4,1.23,1.4305769008945088
4,1.24,1.4287924923892497
4,1.25,1.427028029898005
4,1.26,1.425304678648006
4,1.27,1.423589296195231
4,1.28,1.421878739633098
4,1.29,1.4201911666966909
4,1.3,1.4185017881857307
4,1.31,1.4168290763243974
4,1.32,1.4151947328358794
4,1.33,1.4135516271167343
4,1.34,1.4119214828691202
4,1.35,1.4103079677257657
4,1.36,1.4087217456827699
4,1.37,1.4071428921770524
4,1.38,1.4055903380885997
4,1.39,1.4040467563735948
4,1.4,1.4025110090406774
4,1.41,1.4009943627004706
4,1.42,1.3994945516892046
4,1.43,1.397997589008175
4,1.44,1.3965075747815094
4,1.45,1.3950254095069177
4,1.46,1.3935625034433194
4,1.47,1.3921093824097543
4,1.48,1.3906617220659285
4,1.49,1.3892355141681396
4,1.5,1.3877880159853315
4,1.51,1.3863939083939139
4,1.52,1.384992094774111
4,1.53,1.383624480167714
