imagen,particulas,iteraciones,r,m,SSIM_avg,E,SF,SD,PSNR,FO
APC_3_view_3_fk_NL_05_005,4,40,25,0.01,0.819311,6.801341,5.925163,0.121724,18.65333,1.856012
APC_3_view_3_fk_NL_05_005,4,50,8,0.0479,0.818498,6.827557,6.775446,0.122794,18.64499,1.858392
APC_3_view_3_fk_NL_05_005,6,10,11,0.0469,0.818289,6.83177,6.782115,0.123151,18.642696,1.858689
APC_3_view_3_fk_NL_05_005,6,20,25,0.0506,0.81733,6.845862,6.897555,0.124156,18.633081,1.859394
APC_3_view_3_fk_NL_05_005,6,30,25,0.0505,0.817346,6.845726,6.894927,0.124149,18.633171,1.859393
APC_3_view_3_fk_NL_05_005,6,40,21,0.0484,0.817714,6.840147,6.842717,0.123828,18.636457,1.859101
APC_3_view_3_fk_NL_05_005,6,50,25,0.0508,0.817309,6.846022,6.901211,0.124165,18.632955,1.859396
APC_3_view_3_fk_NL_05_005,8,10,10,0.0499,0.818075,6.832715,6.844126,0.123161,18.642237,1.858515
APC_3_view_3_fk_NL_05_005,8,20,25,0.0477,0.817714,6.842346,6.828299,0.123975,18.635392,1.859362
APC_3_view_3_fk_NL_05_005,8,30,25,0.01,0.819311,6.801341,5.925163,0.121724,18.65333,1.856012
APC_3_view_3_fk_NL_05_005,8,40,25,0.01,0.819311,6.801341,5.925163,0.121724,18.65333,1.856012
APC_3_view_3_fk_NL_05_005,8,50,25,0.01,0.819311,6.801341,5.925163,0.121724,18.65333,1.856012
APC_3_view_3_fk_NL_05_005,10,10,25,0.0496,0.817469,6.844528,6.873286,0.124092,18.633905,1.859373
APC_3_view_3_fk_NL_05_005,10,20,25,0.0509,0.817294,6.846185,6.903905,0.124173,18.632862,1.859395
APC_3_view_3_fk_NL_05_005,10,30,25,0.01,0.819311,6.801341,5.925163,0.121724,18.65333,1.856012
APC_3_view_3_fk_NL_05_005,10,40,25,0.0508,0.81731,6.846006,6.901029,0.124165,18.632961,1.859396
APC_3_view_3_fk_NL_05_005,10,50,25,0.0508,0.81731,6.846022,6.901126,0.124165,18.632958,1.859396
